#TAG,COMMON NAME (used in script),Arch name,Debian name,Alpine name,Options,Description
M,xorg-server,xorg-server,xserver-xorg,xorg-server,,"is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs."
M,xorg-xwininfo,xorg-xwininfo,x11-utils,xorg-xwininfo,,"allows querying information about windows."
M,xorg-xinit,xorg-xinit,xinit,xorg-xinit,,"starts the graphical server."
M,xorg-xset,xorg-xset,x11-xserver-utils,xorg-xset,,"utility for configuring and ajusting X server"
M,polkit,polkit,policykit-1,polkit,,"manages user policies."
M,libertinus-font,libertinus-font,fonts-libertinus,libertinus-font,,"provides the sans and serif fonts for LARBS."
M,ttf-font-awesome,ttf-font-awesome,fonts-font-awesome,font-awesome,,"provides extended glyph support."
M,ttf-dejavu,ttf-dejavu,fonts-dejavu,ttf-dejavu,,"properly displays emojis."
A,lf-git,lf-git,lf,lf,,"is an extensive terminal file manager that everyone likes."
M,ueberzug,ueberzug,ueberzug,ueberzug,,"enables previews in the lf file manager."
M,bc,bc,bc,bc,,"is a mathematics language used for the dropdown calculator."
M,xcompmgr,xcompmgr,xcompmgr,xcompmgr,,"is for transparency and removing screen-tearing."
M,xorg-xprop,xorg-xprop,x11-utils,xorg-xprop,,"is a tool for detecting window properties."
M,arandr,arandr,arandr,arandr,,"allows the user to customize monitor arrangements."
M,dosfstools,dosfstools,dosfstools,dosfstools,,"allows your computer to access dos-like filesystems."
M,libnotify,libnotify,libnotify-bin,libnotify,,"allows desktop notifications."
M,dunst,dunst,dunst,dunst,,"is a suckless notification system."
M,calcurse,calcurse,calcurse,calcurse,,"terminal-based organizer for interactive and command line use"
M,exfat-utils,exfat-utils,exfat-utils,exfat-utils,,"allows management of FAT drives."
M,nsxiv,nsxiv,nsxiv,nsxiv,,"is a minimalist image viewer."
M,xwallpaper,xwallpaper,xwallpaper,xwallpaper,,"sets the wallpaper."
M,ffmpeg,ffmpeg,ffmpeg,ffmpeg,,"can record and splice video and audio on the command line."
M,ffmpegthumbnailer,ffmpegthumbnailer,ffmpegthumbnailer,ffmpegthumbnailer,,"creates thumbnail previews of video files."
M,gnome-keyring,gnome-keyring,gnome-keyring,gnome-keyring,,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,gtk-theme-arc-gruvbox-git,gtk-theme-arc-gruvbox,gtk-theme-arc-gruvbox,,"gives the dark GTK theme used in LARBS."
M,python-qdarkstyle,python-qdarkstyle,python3-qdarkstyle,python3-qdarkstyle,,"provides a dark Qt theme."
M,mpd,mpd,mpd,mpd,,"is a lightweight music daemon."
